No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8007975
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8007977
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8007978
Con potencial de desarrollo@0@Máximo aprovechamiento permisible@5@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002649
Con potencial de desarrollo@0@Máximo aprovechamiento permisible@5@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002644
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002652
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002648
No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@2002650
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@2002645
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002647
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002653
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002643
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002646
Con potencial de desarrollo@0@Máximo aprovechamiento permisible@5@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002651
Con potencial de desarrollo@0@Con potencial de desarrollo@0@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013306
Con potencial de desarrollo@0@Con potencial de desarrollo@0@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013320
Con potencial de desarrollo@0@Con potencial de desarrollo@0@Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013675
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@2002144
No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@En deterioro@20@2002145
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002146
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002147
No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@En deterioro@20@Estatus no definido@0@2002148
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013170
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013171
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002140
No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@2002141
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002142
Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002143
Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@1001349
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002192
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@No se distribuye@0@2002193
Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@1001671
Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@1001669
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002202
Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@1001673
Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@1000836
Con potencial de desarrollo@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8005950
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002421
No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@8006907
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2003046
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2002420
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@2003047
No se distribuye@0@No se distribuye@0@No se distribuye@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@8007462
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006075
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006076
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8006659
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8006668
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8006289
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8007398
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8007401
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8007402
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@En deterioro@20@En deterioro@20@8007406
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006021
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006170
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006171
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006210
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@8006211
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006212
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013229
En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4010229
En deterioro@20@Máximo aprovechamiento permisible@5@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8006688
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006938
En deterioro@20@En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@4010247
En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8006940
En deterioro@20@En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007211
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007212
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007215
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007219
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007222
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@4012227
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007227
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007228
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007230
No se distribuye@0@No se distribuye@0@No se distribuye@0@Con potencial de desarrollo@0@Máximo aprovechamiento permisible@5@No se distribuye@0@4010253
No se distribuye@0@No se distribuye@0@No se distribuye@0@Con potencial de desarrollo@0@Máximo aprovechamiento permisible@5@No se distribuye@0@4010252
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@En deterioro@20@Máximo aprovechamiento permisible@5@8007496
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@8007556
No se distribuye@0@No se distribuye@0@No se distribuye@0@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8005923
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8005944
En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4010349
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8011063
En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013172
En deterioro@20@En deterioro@20@No se distribuye@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4013173
En deterioro@20@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@
Estatus no definido@0@Máximo aprovechamiento permisible@5@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8009293
En deterioro@20@En deterioro@20@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4010300
En deterioro@20@En deterioro@20@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@4010301
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006022
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006086
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006134
No se distribuye@0@No se distribuye@0@No se distribuye@0@En deterioro@20@Máximo aprovechamiento permisible@5@Máximo aprovechamiento permisible@5@4010291
Estatus no definido@0@Estatus no definido@0@Estatus no definido@0@No se distribuye@0@No se distribuye@0@No se distribuye@0@8006153
